,name,url,category,active,comment,
1,DeepSeek Blog,https://api-docs.deepseek.com/news/news251201,model,no,news的形式是这样,
2,阶跃星辰,https://www.stepfun.com/news,model,yes,,
3,智谱AI Blog,https://www.zhipuai.cn/news,model,yes,,
4,MiniMax Blog,https://www.minimaxi.com/news,model,yes,,
5,Moonshot Kimi,https://www.moonshot.cn/news,model,yes,,
6,Hunyuan,,model,no,无，考虑删除,https://github.com/Tencent-Hunyuan
7,Tencent AI,https://ailab.tencent.com/ailab/zh/index,model,no,没有东西，考虑删除,
8,Qwen Blog,https://qwenlm.github.io/blog,model,yes,,
9,Seed ByteDance,https://seed.bytedance.com/en/blog,model,yes,,
10,Black Forest Labs,https://bfl.ai/blog,model,yes,,
11,可灵 Kling,https://app.klingai.com/cn/news,creative,yes,,
12,PixVerse,https://pixverse.ai/en/blog,creative,yes,,
13,Higgsfield,https://higgsfield.ai/blog,creative,yes,,
14,Krea,https://www.krea.ai/blog,creative,yes,,
15,Recraft,https://www.recraft.ai/blog,creative,yes,,
16,Fal.ai Blog,https://blog.fal.ai,creative,yes,,
17,HeyGen Blog,https://www.heygen.com/blog?category=product-updates,creative,yes,todo: filter日期,
18,ElevenLabs Blog,https://elevenlabs.io/blog/category/product,creative,yes,todo:filter日期,
19,Pika Blog,https://pika.art/blog,creative,yes,,
20,Ideogram Blog,https://ideogram.ai/t/explore,creative,no,,
21,Suno Blog,https://suno.com/blog,creative,yes,,
22,Meshy Blog,https://www.meshy.ai/blog,creative,yes,,
23,Dreamina,https://dreamina.capcut.com,creative,no,"产品主页,https://dreamina.capcut.com/tools/seedance-2-0",
25,Tripo,https://www.tripo3d.ai/blog,creative,yes,,
26,OpenArt,https://openart.ai/blog,creative,yes,,
27,Medeo,https://www.medeo.app,creative,no,产品主页,
28,Flova,https://www.flova.ai,creative,no,产品主页,
29,Vidmuse,https://vidmuse.ai/blog,creative,yes,,
30,oiioii,https://www.oiioii.ai,creative,no,产品主页,
31,tapnow,https://www.tapnow.ai,creative,no,产品主页,
32,Manus,https://manus.im/blog,creative,yes,,
33,Genspark,https://www.genspark.ai/blog,creative,yes,,
34,剪映,https://www.jianying.com/news,creative,no,产品主页,
35,美图,https://www.meitu.com/zh/media,creative,yes,,
36,即梦,https://jimeng.jianying.com,creative,no,产品主页,
37,Character.AI Blog,https://blog.character.ai,social,yes,,
39,Talkie,https://www.talkie-ai.com/blog,social,yes,,
40,星野,https://www.xingyeai.com,social,no,产品主页,
41,猫箱,https://maoxiangai.com/industry-news.html,social,no,产品主页,
42,Elys AI,https://www.elys.live,social,no,产品主页,
43,WayShot,https://www.wayshot.ai,social,no,产品主页,
44,Anuttacon,https://www.anuttacon.com,social,no,产品主页,
45,无限谷,https://www.infinityvalley.com,social,no,产品主页,
46,松果时刻,https://www.songguoshike.com,social,no,产品主页,
47,Karpathy Blog,https://karpathy.ai,opinion,yes,,
48,Dario Amodei Blog,https://www.darioamodei.com,opinion,yes,,
49,Colah Blog,https://colah.github.io,opinion,yes,,
50,Francois Chollet,https://fchollet.com,opinion,yes,,
51,Mustafa Suleyman,https://mustafa-suleyman.ai,opinion,yes,,
52,Karina Nguyen,https://karinanguyen.com,opinion,yes,,
53,Founder Park,https://founderpark.net,opinion,yes,,
